Source,Target,Type,Id
GDSC001790034700.txt,United States of America,location,10
GDSC001790034700.txt,Virginia,location,5
GDSC001790034700.txt,Greensville County,location,2
GDSC001790034700.txt,South Carolina,location,6
GDSC001790034700.txt,Atlanta,location,5
GDSC001790034700.txt,Memphis,location,1
GDSC001790034700.txt,San Antonio,location,1
GDSC001790034700.txt,Georgia,location,11
GDSC001790034700.txt,Florida,location,4
GDSC001790034700.txt,F. Rock Attorney Atlanta,location,1
GDSC001790034700.txt,Augusta,location,1
GDSC001790034700.txt,Charleston,location,2
GDSC001790034700.txt,Alabama,location,5
GDSC001790034700.txt,South,location,25
GDSC001790034700.txt,Washington D.C.,location,1
GDSC001790034700.txt,Richmond,location,1
GDSC001790034700.txt,Portsmouth,location,2
GDSC001790034700.txt,New Jersey,location,1
GDSC001790034700.txt,Washington,location,2
GDSC001790034700.txt,North Carolina,location,4
GDSC001790034700.txt,Tennessee,location,4
GDSC001790034700.txt,Ruleville,location,1
GDSC001790043500.txt,Mississippi Praadau,location,1
GDSC001790043500.txt,Jamaica,location,3
GDSC001790043500.txt,Mississippi,location,40
GDSC001790043500.txt,Bath Street Santa Barbara,location,1
GDSC001790043500.txt,Street Brooklyn,location,1
GDSC001790043500.txt,Korth Sunset Drive Zthaoa,location,1
GDSC001790043500.txt,New York City,location,4
GDSC001790043500.txt,Idncoln Street,location,1
GDSC001790043500.txt,Connecticut,location,1
GDSC001790043500.txt,V. Jersey Street Elizabeth,location,1
GDSC001790043500.txt,Clinton Street Brooklyn,location,1
GDSC001790043500.txt,Cedar Rapids,location,1
GDSC001790043500.txt,California,location,2
GDSC001790043500.txt,Thailand,location,1
GDSC001790043500.txt,Florence,location,1
GDSC001790043500.txt,Long Island City,location,1
GDSC001790043500.txt,Bectory Delhi,location,1
GDSC001790047500.txt,Mississippi,location,87
GDSC001790047500.txt,Sunflower,location,1
GDSC001790047500.txt,Baltimore,location,1
GDSC001790047500.txt,Stoughton Ipnd,location,1
GDSC001790047500.txt,Mound Bayou,location,1
GDSC001790047500.txt,Minnesota,location,1
GDSC001790047500.txt,Montgomery,location,1
GDSC001790047500.txt,Newark,location,2
GDSC001790047500.txt,Bolivar County,location,2
GDSC001790047500.txt,Nadia,location,1
GDSC001790047500.txt,Grenada,location,3
GDSC001790047500.txt,Indiana,location,2
GDSC001790047500.txt,Marcn,location,1
GDSC001790047500.txt,River,location,1
GDSC001790047500.txt,Mississippi Delta,location,1
GDSC001790047500.txt,University Hospital,location,1
GDSC001790047500.txt,Connecticut,location,1
GDSC001790047500.txt,s Plantation,location,1
GDSC001790047500.txt,Atlanta,location,6
GDSC001790047500.txt,Batesville,location,1
GDSC001790047500.txt,New York City City,location,1
GDSC001790047500.txt,Uhttsd States,location,1
GDSC001790047500.txt,Jackson State,location,1
GDSC001790047500.txt,Harlem,location,2
