Source,Target,Type,Id
GDSC001790039100.txt,Conway,person,1
GDSC001790039100.txt,sa,person,1
GDSC001790039100.txt,Paul R. Soglin,person,2
GDSC001790039100.txt,Danny Cupit Carolyn Parker Jane Schutt Henry C. Clay,person,1
GDSC001790039100.txt,BLANCHARD,person,1
GDSC001790039100.txt,Youra,person,1
GDSC001790039100.txt,Kay Mills,person,20
GDSC001790039100.txt,G. T. PeenStra,person,1
GDSC001790039100.txt,Judy Kellogg,person,1
GDSC001790039100.txt,Vita C,person,1
GDSC001790039100.txt,W. Woodrow Wilson,person,1
GDSC001790039100.txt,Hull,person,2
GDSC001790039100.txt,Zt,person,1
GDSC001790039100.txt,Thelma Mead,person,1
GDSC001790039100.txt,Young Lee Napier Larry Miller Penny Hutcherson Delores B. Campbell,person,1
GDSC001790039100.txt,Shirley Pike,person,1
GDSC001790023200.txt,Hollis Watkins,person,1
GDSC001790023200.txt,Eleanor Holmes Norton,person,1
GDSC001790023200.txt,Charles McLaurin,person,1
GDSC001790023200.txt,Alvin,person,1
GDSC001790023200.txt,J seph Harris,person,1
GDSC001790023200.txt,Joe Harris,person,1
GDSC001790023200.txt,Hubbert McDonald,person,1
GDSC001790023200.txt,Rhodes,person,1
GDSC001790023200.txt,Sandra Nystrom,person,1
GDSC001790023200.txt,SUnited States of American Kinoy,person,1
GDSC001790023200.txt,Lawrence Guyot,person,4
GDSC001790023200.txt,Hinds,person,1
GDSC001790023200.txt,Owen Brooks,person,2
GDSC001790023200.txt,Joseph,person,1
GDSC001790023200.txt,Hiss,person,1
GDSC001790023200.txt,Vaiden,person,1
GDSC001790023200.txt,Joseph Harris,person,10
GDSC001790023200.txt,Robert Z. Lewis,person,1
GDSC001790059700.txt,James F. Walker,person,1
GDSC001790059700.txt,Bobby L. Smith,person,2
GDSC001790059700.txt,Schmaltz,person,1
GDSC001790059700.txt,James Chambers,person,1
GDSC001790059700.txt,Smith,person,1
GDSC001790059700.txt,Donald Charest,person,2
GDSC001790059700.txt,Walter Gregory,person,8
GDSC001790059700.txt,Frederick Howell,person,1
GDSC001790059700.txt,Willie Harris,person,1
GDSC001790059700.txt,Victor Ullman,person,1
GDSC001790059700.txt,FRANK MADDEN J. A. MARQUIS,person,1
GDSC001790059700.txt,Jerlyne Yvonne Smith,person,1
GDSC001790059700.txt,Boarql,person,1
GDSC001790059700.txt,Floyd Leontyne Dillon,person,1
GDSC001790059700.txt,Martha Cannon,person,2
GDSC001790059700.txt,Florine Liddell,person,3
GDSC001790059700.txt,Ralph A. Phelps,person,1
GDSC001790059700.txt,Velma Liddell,person,1
GDSC001790059700.txt,Harris,person,1
GDSC001790059700.txt,John D,person,1
GDSC001790059700.txt,James A. Smith,person,5
GDSC001790059700.txt,Roosevelt Lewis,person,2
GDSC001790059700.txt,Andrews,person,1
GDSC001790059700.txt,Gerry Maddox,person,2
GDSC001790059700.txt,Emmett Boyles,person,1
GDSC001790059700.txt,Helen Bass Williams,person,1
GDSC001790059700.txt,Lucille Britt,person,2
GDSC001790059700.txt,Paul Ussery,person,1
GDSC001790059700.txt,I. BAILEY JOE B. BAIRD LONNIE BYRD,person,1
GDSC001790059700.txt,Colbert,person,1
GDSC001790059700.txt,Diane Hodges,person,1
GDSC001790059700.txt,James F. Jordan,person,1
GDSC001790059700.txt,Bookkeeper,person,1
GDSC001790059700.txt,Cook,person,1
GDSC001790059700.txt,Farmer Hamilton,person,1
GDSC001790059700.txt,Nelson,person,2
GDSC001790059700.txt,Henry,person,1
GDSC001790059700.txt,Boyles,person,1
GDSC001790059700.txt,Louie,person,2
GDSC001790059700.txt,Thomas,person,1
GDSC001790059700.txt,Harold J. Administrative Assistant,person,1
GDSC001790059700.txt,Diann Hodges,person,1
GDSC001790059700.txt,Sullivan,person,1
GDSC001790059700.txt,John Shields,person,1
GDSC001790059700.txt,James Earnest U,person,1
GDSC001790059700.txt,LONNIE BYRD FRANK,person,1
GDSC001790059700.txt,DAVID MATTHEWu,person,1
GDSC001790059700.txt,Allen,person,4
GDSC001790059700.txt,George,person,2
GDSC001790059700.txt,Walter Robe,person,7
GDSC001790059700.txt,Grant,person,1
GDSC001790059700.txt,Wright,person,1
GDSC001790059700.txt,Charles Harris,person,2
GDSC001790059700.txt,McPherson,person,1
GDSC001790059700.txt,Jimmie Lee Strong,person,2
GDSC001790059700.txt,Myrtis P. Clifton,person,1
GDSC001790059700.txt,Clarence Smith,person,1
GDSC001790059700.txt,Clarence Hawkins,person,3
GDSC001790059700.txt,Clover Green Chairman,person,1
GDSC001790059700.txt,C. W. Yeates,person,1
